"gene_name","Tau_index","ACC","BLCA","LGG","BRCA","CESC","CHOL","COAD","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","DLBC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCM","STAD","TGCT","THYM","THCA","UCS","UCEC","UVM"
"ENSG00000197085.11","NPSR1-AS1",0.800334751506618,0,0.0925628731097487,0.211506426655187,0,0.0512598768967399,0.191735066385905,0.382937041035804,0.986657225153166,0.153895684110685,0.222461487655735,0.0430650640106271,0.0414631731902688,0,0.260993433535199,0.197819516982759,0.574808098035186,0,0,0.0825980224132718,0.898555106988253,0,0,0.438397378757304,0,0,1,0.269829521790492,0.073000625706392,0.045743590119325,0.0974337398345842,0.072564999421582,0
"ENSG00000245694.10","CRNDE",0.796437279804179,0.0525811333130461,0.147615895453777,0.0119925836101714,1,0.463086201215918,0.0692318853640238,0.0305630703272905,0.460767196164027,0.182637502285445,0.139529359464594,0,0.312761907671629,0.559489280607628,0.0237152173081656,0.347959035653333,0.265020435461095,0.00509674347414658,0.217010334598763,0.0811355807288218,0.142802564870697,0.0963326647443351,0.316765271266656,0.0394788497941409,0.242980899681126,0.306533549670193,0.148438830204101,0.103815042735621,0.285037226747825,0.0337690075095778,0.240215457411224,0.0709644772654333,0.116679841663478
"ENSG00000234722.5","LINC01287",0.793825730518849,0.108259072948192,0.138001888468886,1,0.269906501789518,0.117449712327754,0.147230449765088,0.11060593984091,0.563566498085623,0.263661039889598,0.112582488271214,0.152676489889139,0.19722080456862,0.166609189736695,0.180547531343256,0.183047661060299,0.225880602994749,0.153568225090984,0.152245317177346,0.278734501163463,0.107448297426611,0.229352656666837,0.118415326875579,0.109152691311019,0.1028035336695,0.173261503889319,0.370145668668812,0.149985390550013,0.151788659742074,0.164763660383526,0.280520604355243,0.118144715446955,0
"ENSG00000274460.1","AC092119.2",0.774688705331586,0.149128246557366,0.130821366158638,0.437195014308585,0.251667228794991,0.266404701624931,0.431797391718912,0.19565822107615,0.225462936277187,0.225912792655932,0,0.184271346045788,0.184032702600031,0.354414091934212,0.0572805456692506,0.225351831616369,0.141008595402038,0.369111344489769,0.219270928184643,0.276141550102441,0.21180621629264,0.113341484296345,0.123349574875563,0.24694563145382,0.102740423139916,0.188791787716586,0.16053850175797,0.202147810201007,1,0.293518196386147,0.132077204630588,0.0826060779673123,0.0271676854541219
"ENSG00000272405.1","AL365181.3",0.761179091416169,0.282722428069347,0.184017695844738,0.233623476796069,0.114273773628179,0.374342834786743,0.794254791612534,0.731337913413277,0.749994683463598,0.133485433914443,0.0998322419830526,0.00143169260816081,0.29657214452946,1,0.206210986750141,0.114883341321183,0.0853064428095694,0.000164912390558332,0.168217625158243,0.0289336197036791,0.285686295450369,0.0346092798629887,0.000239317727357955,0.829384085092255,0.0306689512066684,0.0651190326564599,0.716268302124038,0.0234459423175721,0,0.00219835639353517,0.0215000900730972,0.0268254022015404,0.00671798079374478
"ENSG00000245614.4","DDX11-AS1",0.742596486878788,0.16005509246338,0.356309293475135,0.18459836045574,0.256891232890934,0.572136227116933,0.187933760212543,0.097863163132714,0.447440862593283,0.278003966388814,0.103349052657817,0.020700531646319,0.0824173175833904,0.314108370668018,0,0.133324915633739,0.356814339501195,0.185676598929237,0.0823207409710599,0.665454199140865,0.0830147358154848,0.0152737484099961,0.0787578890411499,0.110965502998859,0.388862549870342,0.328514127554808,0.24415557283223,1,0.552796077098371,0.0464859089759528,0.652843348037335,0.134665685622546,0.115179248160598
"ENSG00000274925.1","ZKSCAN2-DT",0.704275869867994,0.204202323935726,0.243456030712025,0.529235748031411,0.425345344031246,0.337382965285776,0.452012091673256,0.138849675902177,0.322448969608142,0.163996403536272,0,0.230239342432914,0.287061686950835,0.393385123046892,0.0303224256820718,0.23638316145434,0.250448529959767,0.525093462254973,0.278291504941441,0.285503316124198,0.339414113399096,0.231547467560987,0.515228789043757,0.233869160425674,0.156288402167603,0.166810543165254,0.197507994783546,0.374261129469922,1,0.47334799199742,0.280012671475722,0.118109710451124,0.0431160847206319
"ENSG00000232940.6","HCG25",0.700122251636746,0.109733421654431,0.217523842289471,0.460755904076236,0.414234495295919,0.219836981368637,0.308052742063079,0.0706830159353367,1,0.339762558514178,0.117370688394733,0,0.295077210634591,0.223975079863621,0.161956782190503,0.270930575358053,0.347600234251372,0.317558128039567,0.289708761031534,0.770429552378452,0.151607827181063,0.209641570840878,0.582216738261458,0.0857917753476841,0.155019565970822,0.36520854958102,0.698801921761003,0.224453160987545,0.381228160097666,0.269689768785471,0.219862532587338,0.1152626265593,0.202113776323158
"ENSG00000260942.1","CAPN10-DT",0.66638126493219,0.157348261708329,0.193358733773057,0.527748714808638,0.331212990103245,0.23919047434208,0.562616433577317,0.155625260912885,0.518538860913094,0.342779190704779,0,0.803757038388351,0.213108394610816,0.276125326608323,0.00708006807847345,0.306732179548539,0.317207234864746,0.424886926387159,0.283891827508865,0.540955054175594,0.304470337570796,0.245292530940108,0.401684473510147,0.24354533303301,0.122090565288029,0.191679998597032,0.276846705271514,0.388584095815912,1,0.366943257918299,0.741206743235016,0.174005534246428,0.0172869757293401
"ENSG00000263412.1","NFE2L1-DT",0.666086881228135,0.156752387961288,0.268656308975147,0.621425392357615,0.289343580834984,0.518707065376978,0.318726493671392,0.0195897194998163,0.418686638133454,0.345650347847998,0.104411669333767,0.271757914675181,0.223362594611386,0.612465414019912,0.180884509314206,0.173703010376763,0.274024756237364,0.515386233675732,0.334767533746395,0.671628368174173,0.158638787096093,0.50363215879733,0.321883391695814,0,0.250435485810312,0.2923068951432,0.214869904839862,0.290503604950633,1,0.576107099426173,0.42817926168499,0.127558480703752,0.201174791727968
"ENSG00000265688.2","MAFG-DT",0.659947204509221,0.2068002872653,0.339689085291809,0.368166027222915,0.729590719245881,0.260649655920854,0.338818684477416,0.261467801226302,0.425638414870192,0.248751383074087,0.209690864037229,0.0374018034013505,0.0585709097204458,0.443423313056705,0.0542452972471883,0.470162704447162,0.627798941490807,0,0.696054929111787,0.233205014268236,0.276237095345933,0.473762793209565,0.22950385295711,0.309803856479878,0.419998235705619,0.292709460025964,0.376584871803965,0.29429511921556,0.381951752714017,0.362399077183146,1,0.286137596968362,0.168179908720146
"ENSG00000273373.1","AL355488.1",0.653811337011954,0.0548268364036091,0.401819815593286,0.252408592793626,0.377048913176706,0.68615377701713,0.827288866761924,0.10942547878806,0.767724862041547,0.223855011181387,0.0271256679198776,0.038206944245062,0.373405996840136,0.430761655419857,0.0996105211137678,0.242043612338183,0.29238071489731,0.528048685349011,0.232398220054444,0.447228429758857,0.313561730093734,0.0919379846023979,0.297185858760538,0.143786282161618,0.298754398272554,0.205469545670658,0.380606246001496,0.449426240982224,1,0.516675126589636,0.716986005202384,0.251885195586464,0
"ENSG00000281398.4","SNHG4",0.646317654789514,0.0144118743661715,0.427778655123062,0.061648094270796,0.218828767735684,0.348434950310809,0.499529806187695,0.575662404348285,0.927929260747376,0.129894521103985,0.224489151691447,0.0187693165237093,0.0502533015681974,0.0628841087044585,0.0228905860722873,0.228713853959486,0.560560222104878,1,0.168123699776344,0.885707643196372,0.165858120152046,0,0.722567568486369,0.652115679513,0.025494417892078,0.725759813163608,0.511754174141457,0.35963736302904,0.258823670112624,0.0188313013035794,0.52373168881199,0.37285618873993,0.553894843598778
"ENSG00000172965.17","MIR4435-2HG",0.627763754260045,0.403659940339578,0.25580280342729,0.0362132183941989,0.534188740610717,0.374514384655426,0.577670718779363,0.141268904671646,0.867218971650731,0.508959238502183,0.326496883224039,0.212152717852683,1,0.397564896648003,0.183998264233454,0.344972767442484,0.445586557966097,0.317638686480789,0.596941659494346,0.29685009886019,0.637552246242863,0.24143042762084,0.0503555594480608,0.145956679894137,0.642953349894747,0.396965826154557,0.627705993733244,0.153566623331558,0.0591969898555255,0.771832332733828,0.263825160477555,0.0985192210584385,0
"ENSG00000247373.3","TMED2-DT",0.627587028539304,0.165576237417762,0.297678301443252,0.338998794816115,0.402720597319083,0.268144437613432,0.750061964352208,0.142785189926046,0.788827437148737,0.224757773401529,0,0.45089842764577,0.380111913797749,0.497440368706564,0.11830657777281,0.426937950178801,0.333750568422776,0.233442599842048,0.34386820061326,1,0.282185553297696,0.104489991767329,0.549968220793795,0.146285677085486,0.182789601022974,0.199951799629203,0.630031766981503,0.551455987416935,0.771977892220583,0.574284202585228,0.356260010951252,0.315736297311336,0.0874907452610214
"ENSG00000187013.4","LINC02875",0.620173080989508,0.192005037676818,1,0.253512878910915,0.156715771720761,0.267612242350519,0.503788392000372,0.0438509379436763,0.433986588993608,0.379960487539139,0.114732768496743,0.862117792545142,0.585449148561301,0.425714651604304,0.278080209150668,0.322728305839631,0.506092274728651,0,0.19303456884087,0.601640974497697,0.281897309143666,0.467461798868682,0.854488126989355,0.0193206088377927,0.690510984143564,0.50721864441065,0.278527159515886,0.0352529907399406,0.150808113301492,0.117266818551391,0.490572969925814,0.196180632656712,0.943932219849987
"ENSG00000260924.2","LINC01311",0.617590138081429,0,0.575323773398829,0.587398813637277,0.172466401745741,0.52494630015187,0.609716423685902,0.246872249624065,0.423633064587198,0.269824758887266,0.147590633241057,0.402348364735266,0.204434312222607,0.285221404582517,0.102043269894353,0.114651335527141,0.362471841618464,0.992343665528152,0.161436395768854,0.756584503922719,0.210122715582912,0.13267663989132,0.522935660659635,0.379481389158703,0.262492274160379,0.276598673377364,0.241162549403735,0.680443100616939,1,0.357809181629588,0.752831562101129,0.341447387072093,0.139806934981192
"ENSG00000277476.1","AC005332.5",0.595163342953693,0.358247221010999,0.367833088200827,1,0.361239824063437,0.417554664476726,0.936542387797304,0.0295433821831582,0.7894388847161,0.487823457133685,0.0509949410987915,0.219171954319359,0.693879793692189,0.778044772170276,0.376917892312918,0.716620367980916,0.303950676158695,0.0150375901027935,0.636210911364807,0.450543003079031,0.343058678298201,0.328472924583604,0.228627692240088,0.0288892866693519,0.341032706416483,0.321608615935594,0.344144213290688,0.171076381098495,0.317533363116598,0.661754712471811,0.653659667604148,0.22531997189476,0
